Feature_Selector,Model,F1_with_FS,F1_without_FS,Abs_Diff,Mean_DPR_with_FS,Mean_EOR_with_FS,Mean_DPR_without_FS,Mean_EOR_without_FS,Num_Features
IAMB,kNN,0.2345,0.4695,0.235,0.6506,,,,3.0
IAMB,SVM,0.2541,0.449,0.1948,0.7266,,,,3.0
IAMB,MLP,0.3057,0.5219,0.2162,0.7092,,,,3.0
IAMB,LR,0.3195,0.53,0.2106,0.6499,,0.4855,,3.0
IAMB,CatBoost,0.2496,0.598,0.3483,0.728,,,,3.0
LRH,RandomForest,0.2708,0.5,0.2292,0.7256,,,,3.0
LRH,XGBoost,0.2759,0.5764,0.3005,0.7206,,,,3.0
LRH,kNN,0.2345,0.4695,0.235,0.6506,,,,3.0
LRH,SVM,0.2541,0.449,0.1948,0.7266,,,,3.0
LRH,MLP,0.3057,0.5219,0.2162,0.7092,,,,3.0
LRH,LR,0.3195,0.53,0.2106,0.6499,,0.4855,,3.0
LRH,CatBoost,0.2496,0.598,0.3483,0.728,,,,3.0
FFS_LR,RandomForest,0.5315,0.5,0.1425,0.602,,,,8.2
FFS_LR,XGBoost,0.5029,0.5764,0.1155,0.6056,,,,8.2
FFS_LR,kNN,0.5183,0.4695,0.1274,0.7129,0.5573,,,8.2
FFS_LR,SVM,0.4505,0.449,0.0806,0.757,0.5286,,,8.2
FFS_LR,MLP,0.4682,0.5219,0.1473,0.6473,0.5201,,,8.2
FFS_LR,LR,0.4619,0.53,0.1715,0.6717,,0.4855,,8.2
FFS_LR,CatBoost,0.5136,0.598,0.1314,0.6196,,,,8.2
FFS_RF,RandomForest,0.6778,0.5,0.1777,0.4223,,,,23.8
FFS_RF,XGBoost,0.6117,0.5764,0.0635,0.4949,,,,23.8
FFS_RF,kNN,0.6111,0.4695,0.1416,0.5283,,,,23.8
FFS_RF,SVM,0.5028,0.449,0.0735,0.6966,0.5414,,,23.8
FFS_RF,MLP,0.4514,0.5219,0.0944,0.5412,,,,23.8
FFS_RF,LR,0.5525,0.53,0.1484,0.5473,,0.4855,,23.8
FFS_RF,CatBoost,0.5964,0.598,0.0563,0.5381,,,,23.8
FFS_XGBoost,RandomForest,0.5823,0.5,0.0915,0.5262,0.3833,,,20.4
FFS_XGBoost,XGBoost,0.5834,0.5764,0.1794,0.465,,,,20.4
FFS_XGBoost,kNN,0.5499,0.4695,0.1785,0.5086,,,,20.4
FFS_XGBoost,SVM,0.4174,0.449,0.0579,0.5891,0.5212,,,20.4
FFS_XGBoost,MLP,0.4645,0.5219,0.0632,0.6282,0.5026,,,20.4
FFS_XGBoost,LR,0.4891,0.53,0.0899,0.6093,0.4267,0.4855,,20.4
FFS_XGBoost,CatBoost,0.5677,0.598,0.1515,0.4834,,,,20.4
